Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_name,Route_link
VSR Tours and Travels,A/C Sleeper (2+1),00:14,06:00,05h 46m,584,11 Seats available,4.5,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
Siri Tours and Travels,Non A/C Seater / Sleeper (2+1),00:40,06:30,05h 50m,560,14 Seats available,"3.5
4",Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
Bharathi Tours & Travels,A/C Sleeper (2+1),00:50,05:30,04h 40m,494,1 Seat available,3.8,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
Sri Sai Balaji Travels,A/C Sleeper (2+1),01:30,05:00,03h 30m,849,19 Seats available,3.7,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
Sri Rama Travels,A/C Seater / Sleeper (2+1),01:30,06:45,05h 15m,555,7 Seats available,"4.1
4",Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
BSR Tours And Travels,A/C Seater / Sleeper (2+1),23:59,06:00,06h 01m,580,32 Seats available,"4.7
17",Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
Mahadevv travels,Non A/C Seater / Sleeper (2+1),02:20,05:30,03h 10m,499,6 Seats available,3.4,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
Siri Tours and Travels,A/C Seater / Sleeper (2+1),02:29,07:29,05h 00m,560,20 Seats available,3.5,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
MAHABAHUSRIKVRTRAVELS,Non A/C Seater / Sleeper (2+1),02:30,06:35,04h 05m,400,7 Seats available,3.4,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
Sri Krishna Travels,Non A/C Seater / Sleeper (2+1),04:00,07:30,03h 30m,600,9 Seats available,3.6,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
Siri Tours and Travels,A/C Seater / Sleeper (2+1),18:30,00:30,06h 00m,610,7 Seats available,"3.0
7",Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam
Puri Jagannadh Tours And Travels,Non A/C Seater / Sleeper (2+1),19:05,02:30,07h 25m,555,31 Seats available,3.9,Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam
Sri Krishna Travels,Non A/C Seater / Sleeper (2+1),19:30,23:30,04h 00m,800,34 Seats available,"3.8
9",Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam
SBS Tours and Travels,Non A/C Seater / Sleeper (2+1),20:30,03:15,06h 45m,499,33 Seats available,New,Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam
KKaveri Travels,Non A/C Seater / Sleeper (2+1),20:45,02:30,05h 45m,780,26 Seats available,3.0,Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam
Gupta Travels Galaxy,NON A/C Seater / Sleeper (2+2),21:00,03:15,06h 15m,600,45 Seats available,"3.8
5",Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam
BSR Tours And Travels,A/C Seater / Sleeper (2+1),22:00,03:10,05h 10m,580,25 Seats available,"4.9
11",Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam
Sri KVR Travels,Non A/C Seater / Sleeper (2+1),21:15,03:00,05h 45m,510,30 Seats available,"4.5
15",Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam
Bharathi Tours & Travels,Non A/C Seater / Sleeper (2+1),21:20,03:45,06h 25m,441,28 Seats available,"4.7
5",Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam
Bharathi Tours & Travels,A/C Sleeper (2+1),21:20,03:45,06h 25m,900,30 Seats available,3.9,Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam
TGSRTC - 7359,Super Luxury (Non AC Seater 2+2 Push Back),00:10,03:15,03h 05m,283,27 Seats available,"4.6
9",Karimnagar to Hyderabad,https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad
TGSRTC - 9508,Rajdhani (AC Semi Sleeper 2+2),01:20,04:35,03h 15m,343,15 Seats available,3.7,Karimnagar to Hyderabad,https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad
TGSRTC - 7475,Super Luxury (Non AC Seater 2+2 Push Back),01:40,04:40,03h 00m,283,19 Seats available,3.7,Karimnagar to Hyderabad,https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad
TGSRTC - 7150,RAJDHANI (A.C. Semi Sleeper),01:45,04:45,03h 00m,343,16 Seats available,3.7,Karimnagar to Hyderabad,https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad
TGSRTC - 7375,Super Luxury (Non AC Seater 2+2 Push Back),01:55,04:55,03h 00m,283,16 Seats available,"3.9
4",Karimnagar to Hyderabad,https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad
TGSRTC - 7003,Super Luxury (Non AC Seater 2+2 Push Back),02:00,05:00,03h 00m,283,36 Seats available,3.7,Karimnagar to Hyderabad,https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad
TGSRTC - 7005,Super Luxury (Non AC Seater 2+2 Push Back),02:50,05:50,03h 00m,283,36 Seats available,3.7,Karimnagar to Hyderabad,https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad
TGSRTC - 7007,Super Luxury (Non AC Seater 2+2 Push Back),03:10,06:10,03h 00m,283,36 Seats available,3.7,Karimnagar to Hyderabad,https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad
