,Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_name,Route_link
0,APSRTC - 2673,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",00:15,05:10,04h 55m,436,22 Seats available,2.4,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
1,APSRTC - 37800,INDRA(A.C. Seater),00:15,05:45,05h 30m,528,29 Seats available,4.1,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
2,APSRTC - 4933,VENNELA (A.C. SLEEPER),00:30,06:05,05h 35m,781,6 Seats available,4.0,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
3,APSRTC - 2572,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),00:30,06:05,05h 35m,670,19 Seats available,4.7,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
4,APSRTC - 2562,INDRA(A.C. Seater),00:40,05:20,04h 40m,528,38 Seats available,4.0,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
5,APSRTC - 2777,INDRA(A.C. Seater),00:45,06:55,06h 10m,528,26 Seats available,2.6,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
6,APSRTC - 4919,INDRA(A.C. Seater),00:45,05:50,05h 05m,528,36 Seats available,4.0,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
7,APSRTC - 2687,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",01:15,06:30,05h 15m,469,23 Seats available,3.1,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
8,APSRTC - 2560,INDRA(A.C. Seater),02:00,06:15,04h 15m,528,7 Seats available,4.0,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
9,APSRTC - 2675,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),02:15,08:05,05h 50m,670,37 Seats available,3.7,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
10,APSRTC - 2548,NIGHT RIDER (SEATER CUM SLEEPER),02:30,07:25,04h 55m,536,22 Seats available,4.1,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
11,APSRTC - 3357,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",03:25,10:30,07h 05m,436,32 Seats available,4.0,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
12,APSRTC - 35105,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),04:30,10:45,06h 15m,648,27 Seats available,4.4,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
13,APSRTC - 3565,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),05:30,11:25,05h 55m,648,40 Seats available,4.7,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
14,APSRTC - 9362,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",05:45,11:40,05h 55m,436,33 Seats available,2.9,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
15,IntrCity SmartBus,A/C Seater / Sleeper (2+1),22:45,05:40,06h 55m,559,32 Seats available,4.7,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
16,FRESHBUS,Electric A/C Seater (2+2),21:50,03:55,06h 05m,399,29 Seats available,4.7,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
17,FRESHBUS,Electric A/C Seater (2+2),11:40,19:20,07h 40m,270,33 Seats available,4.7,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
18,AdYolo Bus,Bharat Benz A/C Seater /Sleeper (2+1),06:45,12:55,06h 10m,250,34 Seats available,3.6,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
19,IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:25,06:15,06h 50m,469,36 Seats available,4.6,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
20,APSRTC - 5491,SAPTAGIRI EXPRESS,03:30,09:30,06h 00m,296,2 Seats available,4.5,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi
21,APSRTC - 9775,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",05:00,11:15,06h 15m,426,9 Seats available,4.3,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi
22,APSRTC - 5627,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",05:45,11:45,06h 00m,345,28 Seats available,4.4,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi
23,APSRTC - 3507,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",06:00,12:30,06h 30m,426,25 Seats available,3.9,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi
24,APSRTC - 5519,SAPTAGIRI EXPRESS,06:30,13:00,06h 30m,296,29 Seats available,4.0,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi
25,APSRTC - 5621,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",06:30,12:30,06h 00m,345,24 Seats available,2.8,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi
26,APSRTC - 5505,SAPTAGIRI EXPRESS,07:30,13:30,06h 00m,296,35 Seats available,3.5,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi
27,APSRTC - 5074,INDRA(A.C. Seater),08:00,14:00,06h 00m,506,12 Seats available,4.4,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi
28,APSRTC - 9036,Express Non AC Seater 2+3,08:30,14:50,06h 20m,296,19 Seats available,4.4,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi
29,APSRTC - 3765,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",09:00,15:45,06h 45m,426,26 Seats available,4.0,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi
30,APSRTC - 9058,Express Non AC Seater 2+3,09:15,15:20,06h 05m,312,29 Seats available,4.2,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi
31,APSRTC - 5724,Express Non AC Seater 2+3,09:30,16:00,06h 30m,311,11 Seats available,3.8,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi
32,APSRTC - 5451,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",10:30,16:30,06h 00m,426,29 Seats available,3.3,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi
33,APSRTC - 5359,Express Non AC Seater 2+3,10:45,17:45,07h 00m,317,39 Seats available,3.8,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi
34,APSRTC - 47172,INDRA(A.C. Seater),11:00,16:15,05h 15m,506,30 Seats available,3.7,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi
35,APSRTC - 5455,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",11:30,17:30,06h 00m,426,29 Seats available,3.9,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi
36,APSRTC - 5080,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),12:00,17:25,05h 25m,674,41 Seats available,3.9,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi
37,APSRTC - 5533,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",13:00,19:00,06h 00m,426,33 Seats available,3.3,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi
38,APSRTC - 5751,Express Non AC Seater 2+3,14:15,20:35,06h 20m,296,26 Seats available,3.7,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi
39,APSRTC - 5513,SAPTAGIRI EXPRESS,14:45,20:45,06h 00m,301,41 Seats available,2.8,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi
40,FRESHBUS,Electric A/C Seater (2+2),06:35,12:15,05h 40m,559,18 Seats available,4.7,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi
41,FRESHBUS,Electric A/C Seater (2+2),14:30,20:50,06h 20m,399,29 Seats available,4.7,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi
42,FRESHBUS,Electric A/C Seater (2+2),19:20,01:00,05h 40m,398,29 Seats available,4.6,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi
43,AdHYBUS,Bharat Benz A/C Sleeper (2+1),21:55,04:15,06h 20m,603,25 Seats available,4.4,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi
44,FRESHBUS,Electric A/C Seater (2+2),12:35,18:15,05h 40m,368,30 Seats available,4.6,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi
45,APSRTC - 50145,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",04:00,11:00,07h 00m,472,28 Seats available,4.5,Bangalore to Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa
46,APSRTC - 6204,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",04:30,11:00,06h 30m,472,20 Seats available,3.3,Bangalore to Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa
47,APSRTC - 6206,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",05:30,12:00,06h 30m,472,29 Seats available,4.0,Bangalore to Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa
48,APSRTC - 50182,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",06:00,13:00,07h 00m,472,28 Seats available,4.2,Bangalore to Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa
49,APSRTC - 6011,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",06:30,13:30,07h 00m,472,31 Seats available,3.3,Bangalore to Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa
50,APSRTC - 50103,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",07:30,14:15,06h 45m,412,32 Seats available,3.8,Bangalore to Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa
51,APSRTC - 6019,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",08:15,15:15,07h 00m,472,33 Seats available,4.5,Bangalore to Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa
52,APSRTC - 6074,INDRA(A.C. Seater),09:00,15:30,06h 30m,526,20 Seats available,3.7,Bangalore to Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa
53,APSRTC - 6066,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",10:00,17:00,07h 00m,472,25 Seats available,4.0,Bangalore to Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa
54,APSRTC - 9267,INDRA(A.C. Seater),10:30,17:00,06h 30m,526,16 Seats available,4.2,Bangalore to Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa
55,APSRTC - 9255,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",11:30,18:30,07h 00m,472,32 Seats available,3.2,Bangalore to Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa
56,APSRTC - 6015,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",13:30,20:30,07h 00m,472,28 Seats available,3.9,Bangalore to Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa
57,APSRTC - 50194,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),14:30,21:00,06h 30m,716,39 Seats available,4.2,Bangalore to Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa
58,APSRTC - 50013,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",15:30,22:30,07h 00m,472,31 Seats available,3.6,Bangalore to Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa
59,APSRTC - 6005,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",16:30,23:30,07h 00m,472,8 Seats available,3.8,Bangalore to Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa
60,AR & BCVR Travels,Non A/C Seater / Sleeper (2+1),21:30,04:00,06h 30m,660,46 Seats available,4.6,Bangalore to Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa
61,AR & BCVR Travels,Non A/C Seater / Sleeper (2+1),21:00,04:00,07h 00m,600,38 Seats available,4.4,Bangalore to Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa
62,CGR Travels,Non A/C Seater / Sleeper (2+1),19:55,04:25,08h 30m,500,31 Seats available,4.3,Bangalore to Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa
63,AdAR & BCVR Travels,A/C Sleeper (2+1),20:40,04:30,07h 50m,900,23 Seats available,3.8,Bangalore to Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa
64,Sri Vinayaka Travels,A/C Sleeper (2+1),20:10,04:00,07h 50m,650,24 Seats available,4.6,Bangalore to Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa
65,APSRTC - 2538,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",00:15,04:15,04h 00m,281,30 Seats available,3.9,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam
66,APSRTC - 2837,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",00:30,03:30,03h 00m,281,34 Seats available,4.6,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam
