Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_name,Route_link
Assam State Transport Corporation (ASTC) - 147480,Bharat Benz A/C Seater (2+2),05:00,09:00,04h 00m,270,12 Seats available,"3.6
343",Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati
Assam State Transport Corporation (ASTC) - 170878,Bharat Benz A/C Seater (2+2),10:35,15:15,04h 40m,298,4 Seats available,"4.5
97",Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati
Assam State Transport Corporation (ASTC) - 156590,Bharat Benz A/C Seater (2+2),14:00,18:30,04h 30m,298,12 Seats available,"4.7
33",Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati
MAA Anada (UNDER ASTC),AC Seater (2+2),05:20,08:30,03h 10m,274,27 Seats available,"3.4
59",Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati
Kanchan Travels,AC Seater (2+2),05:35,08:35,03h 00m,346,32 Seats available,"3.9
53",Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati
Mahi Travels(Under ASTC),A/C Seater (2+2),05:40,08:55,03h 15m,357,27 Seats available,"4.6
354",Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati
WARISPIYA TRAVELS,AC Seater (2+2),05:45,09:00,03h 15m,360,30 Seats available,"4.2
332",Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati
Orient Transline,A/C Seater (2+1),05:55,09:00,03h 05m,361.9,15 Seats available,"4.4
83",Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati
WARISPIYA TRAVELS,Bharat Benz A/C Seater (2+2),06:30,10:25,03h 55m,360,24 Seats available,"4.5
361",Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati
Orient Transline,A/C Seater (2+1),06:45,10:10,03h 25m,361.9,14 Seats available,"4.9
38",Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati
Aziba Travels,NON A/C Seater (2+1),09:45,14:10,04h 25m,347,26 Seats available,"3.4
4",Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati
Orient Transline,A/C Seater (2+1),07:20,11:00,03h 40m,361.9,13 Seats available,"4.1
100",Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati
WARISPIYA TRAVELS,AC Seater (2+2),07:45,12:00,04h 15m,360,25 Seats available,"4.2
343",Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati
Assam State Transport Corporation (ASTC) - 143955,Bharat Benz A/C Seater (2+2),07:00,11:00,04h 00m,298,16 Seats available,"3.7
222",Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur
