Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_name,Route_link
KSRTC (Kerala) - 3101,Low Floor AC Seater 2+2,00:05,05:25,05h 20m,422,30 Seats available,3.2,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 3546,Super Express Non AC Seater Air Bus (2+2),00:25,05:05,04h 40m,309,1 Seat available,3.2,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 2820,Super Fast Non AC Seater (2+3),00:55,05:50,04h 55m,269,30 Seats available,3.3,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 3863,Super Fast Non AC Seater (2+3),03:20,08:25,05h 05m,249,16 Seats available,3.2,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 1859,Low Floor AC Seater 2+2,04:30,10:14,05h 44m,383,3 Seats available,3.5,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 2495,Low Floor AC Seater 2+2,06:00,11:20,05h 20m,383,10 Seats available,2.5,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 794,Super Fast Non AC Seater (2+3),06:45,13:00,06h 15m,269,43 Seats available,3.2,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 2710,Super Fast Non AC Seater (2+3),07:20,13:06,05h 46m,269,50 Seats available,3.5,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 3597,Low Floor AC Seater 2+2,08:00,13:20,05h 20m,383,21 Seats available,1.7,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 764,Super Fast Non AC Seater (2+3),09:00,14:30,05h 30m,269,48 Seats available,4.9,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 671,Super Fast Non AC Seater (2+3),09:10,14:01,04h 51m,230,41 Seats available,1.9,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 2571,Super Fast Non AC Seater (2+3),09:30,15:55,06h 25m,261,42 Seats available,3.2,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 721,Super Fast Non AC Seater (2+3),09:35,15:10,05h 35m,269,44 Seats available,3.2,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 3938,Super Fast Non AC Seater (2+3),09:50,15:01,05h 11m,220,46 Seats available,3.2,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 353,Super Fast Non AC Seater (2+3),10:15,16:00,05h 45m,269,45 Seats available,3.2,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 1255,Super Fast Non AC Seater (2+3),10:35,16:31,05h 56m,269,45 Seats available,3.2,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 773,Super Fast Non AC Seater (2+3),10:55,16:20,05h 25m,269,43 Seats available,4.3,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 1927,Low Floor AC Seater 2+2,12:30,18:19,05h 49m,383,6 Seats available,4.0,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 2496,Low Floor AC Seater 2+2,13:30,18:49,05h 19m,383,16 Seats available,3.2,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 596,Super Express Non AC Seater Air Bus (2+2),13:40,18:40,05h 00m,293,39 Seats available,3.4,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 2718,Super Fast Non AC Seater (2+3),13:50,20:00,06h 10m,209,42 Seats available,4.3,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 427,Super Fast Non AC Seater (2+3),13:55,20:20,06h 25m,269,47 Seats available,3.2,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 2896,Low Floor AC Seater 2+2,14:00,20:15,06h 15m,383,23 Seats available,4.1,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 2818,Super Fast Non AC Seater (2+3),15:00,20:30,05h 30m,269,50 Seats available,3.6,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 2810,Super Fast Non AC Seater (2+3),15:25,21:05,05h 40m,269,49 Seats available,3.1,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 720,Super Fast Non AC Seater (2+3),15:40,21:15,05h 35m,269,48 Seats available,2.5,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
