Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_name,Route_link
KSRTC (Kerala) - 2454,Low Floor AC Seater 2+2,21:40,03:00,05h 20m,383,5 Seats available,4.6,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 279,Super Fast Non AC Seater (2+3),23:05,04:40,05h 35m,269,4 Seats available,3.5,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
A1 Travels,NON A/C Semi Sleeper (2+2),21:00,01:30,04h 30m,700,6 Seats available,3.6,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
A1 Travels,Bharat Benz A/C Seater /Sleeper (2+1),22:15,01:45,03h 30m,800,6 Seats available,3.6,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
A1 Travels,Bharat Benz A/C Seater /Sleeper (2+1),22:30,01:29,02h 59m,800,13 Seats available,3.0,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
Achayans Holidays,VE A/C Semi Sleeper (2+2),23:00,03:50,04h 50m,500,14 Seats available,3.3,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
CITI TOURS,Bharat Benz A/C Sleeper (2+1),23:15,03:30,04h 15m,600,30 Seats available,4.2,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
Sonia Travels,A/C Seater/Sleeper (2+1),23:30,04:29,04h 59m,730,8 Seats available,4.6,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
Madhavi Travels,A/C Sleeper (2+1),23:40,05:00,05h 20m,899,5 Seats available,3.3,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
Sonia Travels,A/C Semi Sleeper (2+2),23:45,03:59,04h 14m,600,5 Seats available,4.5,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
UFO Bus,A/C Sleeper (2+1),23:55,05:30,05h 35m,749,4 Seats available,4.0,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
UFO Bus,Volvo Multi-Axle B9R A/c Semi Sleeper (2+2),23:55,05:30,05h 35m,630,14 Seats available,3.4,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
Global Transport,A/C Seater (2+2),23:58,05:30,05h 32m,523,26 Seats available,4.8,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
Global Transport,A/C Semi Sleeper (2+2),23:59,05:30,05h 31m,523,12 Seats available,4.6,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
Arya Travels,A/C Sleeper (2+1),23:59,05:30,05h 31m,695,8 Seats available,4.6,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
SG Travels,Bharat Benz A/C Sleeper (2+1),23:59,05:55,05h 56m,700,8 Seats available,3.9,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
Kalpaka Travels 1,A/C Sleeper (2+1),23:59,06:00,06h 01m,800,5 Seats available,4.2,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
Arya Travels,A/C Sleeper (2+1),23:59,05:30,05h 31m,695,4 Seats available,2.6,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
Crownline Travels,A/C Sleeper (2+1),01:30,05:29,03h 59m,750,8 Seats available,2.7,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
EMERALD TRAVELS,Bharat Benz A/C Seater (2+2),22:10,02:40,04h 30m,800,13 Seats available,2.2,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
Shajees Motors,A/C Semi Sleeper (2+2),22:40,03:30,04h 50m,630,6 Seats available,2.7,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
Kallada Travels (Suresh Kallada),A/C Sleeper (2+1),22:45,02:40,03h 55m,850,4 Seats available,2.4,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
Madhavi Travels,Volvo A/C Semi Sleeper (2+2),23:30,03:10,03h 40m,799,3 Seats available,N/A,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
