Route_name,Route_link
Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata
Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan
Kolkata to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-durgapur
Haldia to Kolkata,https://www.redbus.in/bus-tickets/haldia-to-kolkata
Kolkata to Haldia,https://www.redbus.in/bus-tickets/kolkata-to-haldia
Midnapore to Kolkata,https://www.redbus.in/bus-tickets/midnapore-to-kolkata
Kolkata to Arambagh (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-arambagh-west-bengal
Kolkata to Midnapore,https://www.redbus.in/bus-tickets/kolkata-to-midnapore
Digha to Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata
Kolkata to Bankura,https://www.redbus.in/bus-tickets/kolkata-to-bankura
Kolkata to Asansol (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-asansol
Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha
Jhargram to Kolkata,https://www.redbus.in/bus-tickets/jhargram-to-kolkata
Kolkata to Nimtouri,https://www.redbus.in/bus-tickets/kolkata-to-nimtouri
Digha to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/digha-to-durgapur
Kolkata to Contai (Kanthi),https://www.redbus.in/bus-tickets/kolkata-to-contai-kanthi
Kolkata to Kolaghat,https://www.redbus.in/bus-tickets/kolkata-to-kolaghat
Durgapur (West Bengal) to Digha,https://www.redbus.in/bus-tickets/durgapur-to-digha
Kolkata to Nandakumar (west bengal),https://www.redbus.in/bus-tickets/kolkata-to-nandakumar
Kolkata to Mecheda (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-mecheda-west-bengal
Siliguri to Kolkata,https://www.redbus.in/bus-tickets/siliguri-to-kolkata
Durgapur (West Bengal) to Barasat (West Bengal),https://www.redbus.in/bus-tickets/durgapur-to-barasat-west-bengal
Kirnahar (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/kirnahar-west-bengal-to-kolkata
Kolkata to Siliguri,https://www.redbus.in/bus-tickets/kolkata-to-siliguri
Kolkata to Suri,https://www.redbus.in/bus-tickets/kolkata-to-suri
Kolkata to Debra,https://www.redbus.in/bus-tickets/kolkata-to-debra
Illambazar to Kolkata,https://www.redbus.in/bus-tickets/illambazar-to-kolkata
Purulia to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/purulia-to-durgapur
Kolkata to Chandipur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-chandipur-west-bengal
Kolkata to Panskura,https://www.redbus.in/bus-tickets/kolkata-to-panskura
Digha to Barasat (West Bengal),https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal
Durgapur (West Bengal) to Berhampore (West Bengal),https://www.redbus.in/bus-tickets/durgapur-to-berhampore
Kolkata to Jhargram,https://www.redbus.in/bus-tickets/kolkata-to-jhargram
Kolkata to Purulia,https://www.redbus.in/bus-tickets/kolkata-to-purulia
Midnapore to Barasat (West Bengal),https://www.redbus.in/bus-tickets/midnapore-to-barasat-west-bengal
Kolkata to Heria,https://www.redbus.in/bus-tickets/kolkata-to-heria
Barasat (West Bengal) to Midnapore,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-midnapore
Kolkata to Kirnahar (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-kirnahar-west-bengal
Durgapur (West Bengal) to Bankura,https://www.redbus.in/bus-tickets/durgapur-to-bankura
Durgapur (West Bengal) to Habra,https://www.redbus.in/bus-tickets/durgapur-to-habra
Durgapur (West Bengal) to Jhargram,https://www.redbus.in/bus-tickets/durgapur-to-jhargram
Kolkata to Ashari,https://www.redbus.in/bus-tickets/kolkata-to-ashari
