Route_name,Route_link
Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
Ernakulam to Kozhikode,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode
Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore
Mysore to Kozhikode,https://www.redbus.in/bus-tickets/mysore-to-kozhikode
Kozhikode to Thiruvananthapuram,https://www.redbus.in/bus-tickets/kozhikode-to-thiruvananthapuram
Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
Thiruvananthapuram to Kozhikode,https://www.redbus.in/bus-tickets/thiruvananthapuram-to-kozhikode
Bangalore to Kannur (Kerala),https://www.redbus.in/bus-tickets/bangalore-to-kannur
Thrissur to Kozhikode,https://www.redbus.in/bus-tickets/thrissur-to-kozhikode
Kannur (Kerala) to Bangalore,https://www.redbus.in/bus-tickets/kannur-to-bangalore
Kalpetta (kerala) to Bangalore,https://www.redbus.in/bus-tickets/kalpetta-to-bangalore
Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta
Kozhikode to Kottayam,https://www.redbus.in/bus-tickets/kozhikode-to-kottayam
Kozhikode to Aluva,https://www.redbus.in/bus-tickets/kozhikode-to-aluva
Kalpetta (kerala) to Kozhikode,https://www.redbus.in/bus-tickets/kalpetta-to-kozhikode
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur
Guwahati to Nagaon (Assam),https://www.redbus.in/bus-tickets/guwahati-to-nagaon
Guwahati to Dhubri,https://www.redbus.in/bus-tickets/guwahati-to-dhubri
Jorhat to North Lakhimpur,https://www.redbus.in/bus-tickets/jorhat-to-north-lakhimpur
North Lakhimpur to Sibsagar (Assam),https://www.redbus.in/bus-tickets/north-lakhimpur-to-sibsagar
Dhubri to Guwahati,https://www.redbus.in/bus-tickets/dhubri-to-guwahati
North Lakhimpur to Jorhat,https://www.redbus.in/bus-tickets/north-lakhimpur-to-jorhat
Goalpara to Guwahati,https://www.redbus.in/bus-tickets/goalpara-to-guwahati
Sibsagar (Assam) to North Lakhimpur,https://www.redbus.in/bus-tickets/sibsagar-to-north-lakhimpur
Jorhat to Dibrugarh,https://www.redbus.in/bus-tickets/jorhat-to-dibrugarh
Dhekiajuli to Guwahati,https://www.redbus.in/bus-tickets/dhekiajuli-to-guwahati
Dhemaji to Jorhat,https://www.redbus.in/bus-tickets/dhemaji-to-jorhat
Jorhat to Tinsukia,https://www.redbus.in/bus-tickets/jorhat-to-tinsukia
Jorhat to Dhemaji,https://www.redbus.in/bus-tickets/jorhat-to-dhemaji
Dibrugarh to Tezpur,https://www.redbus.in/bus-tickets/dibrugarh-to-tezpur
Dibrugarh to Jorhat,https://www.redbus.in/bus-tickets/dibrugarh-to-jorhat
Guwahati to Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali
Dibrugarh to North Lakhimpur,https://www.redbus.in/bus-tickets/dibrugarh-to-north-lakhimpur
Guwahati to Gohpur,https://www.redbus.in/bus-tickets/guwahati-to-gohpur
Tezpur to Moran,https://www.redbus.in/bus-tickets/tezpur-to-moran
Tezpur to North Lakhimpur,https://www.redbus.in/bus-tickets/tezpur-to-north-lakhimpur
Guwahati to North Lakhimpur,https://www.redbus.in/bus-tickets/guwahati-to-north-lakhimpur
Tinsukia to Jorhat,https://www.redbus.in/bus-tickets/tinsukia-to-jorhat
Guwahati to Kaliabor,https://www.redbus.in/bus-tickets/guwahati-to-kaliabor
North Lakhimpur to Moran,https://www.redbus.in/bus-tickets/north-lakhimpur-to-moran
Jorhat to Gogamukh,https://www.redbus.in/bus-tickets/jorhat-to-gogamukh
Tinsukia to Tezpur,https://www.redbus.in/bus-tickets/tinsukia-to-tezpur
Moran to North Lakhimpur,https://www.redbus.in/bus-tickets/moran-to-north-lakhimpur
Golaghat to North Lakhimpur,https://www.redbus.in/bus-tickets/golaghat-to-north-lakhimpur
Dibrugarh to Biswanath Charali,https://www.redbus.in/bus-tickets/dibrugarh-to-biswanath-charali
Gohpur to Guwahati,https://www.redbus.in/bus-tickets/gohpur-to-guwahati
Sibsagar (Assam) to Dhemaji,https://www.redbus.in/bus-tickets/sibsagar-to-dhemaji
Guwahati to Bihpuria,https://www.redbus.in/bus-tickets/guwahati-to-bihpuria
Bokakhat to Dibrugarh,https://www.redbus.in/bus-tickets/bokakhat-to-dibrugarh
Tumuki (Tezpur Medical) to Guwahati,https://www.redbus.in/bus-tickets/tumuki-tezpur-medical-to-guwahati
Bihpuria to Dibrugarh,https://www.redbus.in/bus-tickets/bihpuria-to-dibrugarh
Dibrugarh to Bokakhat,https://www.redbus.in/bus-tickets/dibrugarh-to-bokakhat
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
